Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
91,3,2016-05-09,28-056,GSW,@,POR,W (+7),0,36:34,16,32,.500,5,16,.313,3,3,1.000,1,8,9,8,0,0,4,2,40,27.9,+21
92,4,2016-05-11,28-058,GSW,,POR,W (+4),1,36:30,10,20,.500,5,11,.455,4,4,1.000,0,5,5,11,1,0,4,2,29,24.4,+10
93,5,2016-05-16,28-063,GSW,,OKC,L (-6),1,39:40,9,22,.409,6,14,.429,2,2,1.000,1,9,10,7,3,0,7,3,26,17.3,-6
94,6,2016-05-18,28-065,GSW,,OKC,W (+27),1,29:40,9,15,.600,5,8,.625,5,5,1.000,0,2,2,3,1,0,3,0,28,21.8,+24
95,7,2016-05-22,28-069,GSW,@,OKC,L (-28),1,29:44,7,17,.412,3,11,.273,7,8,.875,0,5,5,3,2,0,1,1,24,18.7,-39
96,8,2016-05-24,28-071,GSW,@,OKC,L (-24),1,39:00,6,20,.300,2,10,.200,5,7,.714,0,5,5,5,2,0,6,2,19,6.8,-19
97,9,2016-05-26,28-073,GSW,,OKC,W (+9),1,37:27,9,20,.450,3,8,.375,10,10,1.000,0,7,7,6,5,0,5,0,31,26.9,+6
98,10,2016-05-28,28-075,GSW,@,OKC,W (+7),1,41:01,9,22,.409,6,14,.429,7,9,.778,2,8,10,9,2,0,3,3,31,26.3,+12
99,11,2016-05-30,28-077,GSW,,OKC,W (+8),1,40:24,13,24,.542,7,12,.583,3,3,1.000,1,4,5,8,0,0,3,1,36,28.5,+18
100,12,2016-06-02,28-080,GSW,,CLE,W (+15),1,35:54,4,15,.267,3,8,.375,0,0,,1,4,5,6,0,0,5,2,11,2.4,-1
101,13,2016-06-05,28-083,GSW,,CLE,W (+33),1,24:43,7,11,.636,4,8,.500,0,0,,1,8,9,4,0,1,4,4,18,14.1,+25
102,14,2016-06-08,28-086,GSW,@,CLE,L (-30),1,30:59,6,13,.462,3,9,.333,4,4,1.000,1,0,1,3,2,0,6,4,19,9.5,-22
103,15,2016-06-10,28-088,GSW,@,CLE,W (+11),1,39:39,11,25,.440,7,13,.538,9,10,.900,3,2,5,6,2,0,3,3,38,29.2,+10
104,16,2016-06-13,28-091,GSW,,CLE,L (-15),1,40:07,8,21,.381,5,15,.333,4,4,1.000,2,5,7,4,0,3,4,2,25,16.5,-6
105,17,2016-06-16,28-094,GSW,@,CLE,L (-14),1,35:14,8,20,.400,6,13,.462,8,9,.889,0,2,2,1,1,0,4,6,30,14.7,-10
106,18,2016-06-19,28-097,GSW,,CLE,L (-4),1,39:16,6,19,.316,4,14,.286,1,1,1.000,0,5,5,2,1,1,4,4,17,5.1,-3
1,1,2016-10-25,28-225,GSW,,SAS,L (-29),1,34:06,9,18,.500,3,10,.300,5,6,.833,0,3,3,4,0,0,4,1,26,15.9,-9
2,2,2016-10-28,28-228,GSW,@,NOP,W (+8),1,34:04,8,19,.421,4,10,.400,3,4,.750,1,0,1,8,1,0,4,3,23,14.6,+4
3,3,2016-10-30,28-230,GSW,@,PHO,W (+6),1,34:13,9,17,.529,5,8,.625,5,5,1.000,0,1,1,3,0,0,1,5,28,19.1,+2
4,4,2016-11-01,28-232,GSW,@,POR,W (+23),1,29:30,10,21,.476,5,10,.500,3,4,.750,1,3,4,3,1,0,4,3,28,16.4,+24
5,5,2016-11-03,28-234,GSW,,OKC,W (+26),1,30:03,6,14,.429,2,6,.333,7,8,.875,0,1,1,7,2,1,1,1,21,19.7,+17
6,6,2016-11-04,28-235,GSW,@,LAL,L (-20),1,31:06,5,17,.294,0,10,.000,3,3,1.000,0,8,8,10,2,1,2,3,13,12.0,-5
7,7,2016-11-07,28-238,GSW,,NOP,W (+10),1,35:39,16,26,.615,13,17,.765,1,2,.500,3,2,5,5,2,0,4,2,46,37.2,+9
8,8,2016-11-09,28-240,GSW,,DAL,W (+21),1,30:50,8,12,.667,4,8,.500,4,4,1.000,0,3,3,6,1,0,5,1,24,19.5,+16
9,9,2016-11-10,28-241,GSW,@,DEN,W (+24),1,29:56,10,17,.588,7,13,.538,6,6,1.000,1,4,5,6,1,0,4,1,33,27.8,+27
10,10,2016-11-13,28-244,GSW,,PHO,W (+13),1,36:46,9,17,.529,5,9,.556,7,7,1.000,0,6,6,6,2,0,3,2,30,25.9,+22
11,11,2016-11-16,28-247,GSW,@,TOR,W (+6),1,37:22,10,19,.526,3,9,.333,12,13,.923,2,1,3,7,1,0,3,3,35,28.7,+5
12,12,2016-11-18,28-249,GSW,@,BOS,W (+16),1,36:18,7,20,.350,2,10,.200,0,0,,0,3,3,8,4,1,2,4,16,12.4,+19
13,13,2016-11-19,28-250,GSW,@,MIL,W (+3),1,34:41,7,21,.333,1,11,.091,5,5,1.000,0,5,5,5,1,0,3,4,20,9.5,+1
14,14,2016-11-21,28-252,GSW,@,IND,W (+37),1,29:30,6,11,.545,2,6,.333,8,8,1.000,2,4,6,6,1,0,1,1,22,23.1,+34
15,15,2016-11-23,28-254,GSW,,LAL,W (+43),1,28:45,11,18,.611,7,12,.583,2,2,1.000,0,5,5,9,1,0,1,1,31,30.2,+32
16,16,2016-11-25,28-256,GSW,@,LAL,W (+24),1,35:36,8,17,.471,4,10,.400,4,4,1.000,2,3,5,5,3,0,3,1,24,20.7,+14
17,17,2016-11-26,28-257,GSW,,MIN,W (+13),1,37:10,13,19,.684,4,8,.500,4,4,1.000,1,7,8,6,1,0,6,4,34,26.3,+16
18,18,2016-11-28,28-259,GSW,,ATL,W (+5),1,38:14,6,17,.353,4,11,.364,9,11,.818,0,3,3,3,2,0,3,2,25,15.9,+6
19,19,2016-12-01,28-262,GSW,,HOU,L (-5),1,38:23,9,22,.409,4,13,.308,6,6,1.000,1,2,3,5,3,1,5,6,28,17.3,+10
