Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
40,38,2016-01-14,27-306,GSW,,LAL,W (+18),1,29:31,9,18,.500,8,16,.500,0,0,,2,4,6,3,1,0,3,3,26,18.5,+14
41,39,2016-01-16,27-308,GSW,@,DET,L (-18),1,36:55,13,26,.500,7,15,.467,5,6,.833,1,6,7,5,2,0,2,1,38,30.2,+2
42,40,2016-01-18,27-310,GSW,@,CLE,W (+34),1,28:03,12,18,.667,7,12,.583,4,4,1.000,2,3,5,4,3,0,1,3,35,33.1,+34
43,41,2016-01-20,27-312,GSW,@,CHI,W (+31),1,33:45,8,18,.444,3,9,.333,6,6,1.000,1,6,7,11,2,1,2,2,25,25.7,+36
44,42,2016-01-22,27-314,GSW,,IND,W (+12),1,36:49,11,19,.579,8,15,.533,9,9,1.000,2,8,10,12,1,0,2,1,39,40.9,+22
45,43,2016-01-25,27-317,GSW,,SAS,W (+30),1,28:21,12,20,.600,6,9,.667,7,7,1.000,1,1,2,3,5,0,1,0,37,34.9,+23
46,44,2016-01-27,27-319,GSW,,DAL,W (+20),1,31:48,4,11,.364,3,7,.429,3,3,1.000,1,1,2,9,3,1,0,2,14,18.1,+26
47,45,2016-01-30,27-322,GSW,@,PHI,W (+3),1,34:12,9,19,.474,5,11,.455,0,0,,2,3,5,6,1,2,8,3,23,13.0,+8
48,46,2016-01-31,27-323,GSW,@,NYK,W (+21),1,31:59,5,17,.294,3,11,.273,0,0,,0,4,4,4,3,0,3,1,13,6.7,+10
49,47,2016-02-03,27-326,GSW,@,WAS,W (+13),1,35:41,19,28,.679,11,15,.733,2,3,.667,1,6,7,2,3,0,7,3,51,37.3,+20
50,48,2016-02-06,27-329,GSW,,OKC,W (+8),1,37:42,10,26,.385,1,9,.111,5,5,1.000,1,5,6,10,3,0,3,2,26,20.2,+3
51,49,2016-02-09,27-332,GSW,,HOU,W (+13),1,37:41,12,24,.500,7,16,.438,4,4,1.000,1,4,5,9,1,0,1,2,35,30.4,+3
52,50,2016-02-10,27-333,GSW,@,PHO,W (+8),1,30:06,9,17,.529,5,10,.500,3,4,.750,5,4,9,9,1,1,2,1,26,27.6,+12
53,51,2016-02-19,27-342,GSW,@,POR,L (-32),1,26:18,12,23,.522,7,13,.538,0,0,,2,1,3,5,2,0,3,4,31,22.3,-18
54,52,2016-02-20,27-343,GSW,@,LAC,W (+3),1,35:30,5,15,.333,3,8,.375,10,12,.833,0,3,3,9,3,0,3,2,23,20.1,+4
55,53,2016-02-22,27-345,GSW,@,ATL,W (+10),1,35:48,14,22,.636,5,11,.455,3,3,1.000,1,5,6,8,3,0,2,2,36,34.2,+13
56,54,2016-02-24,27-347,GSW,@,MIA,W (+6),1,35:35,14,29,.483,6,12,.500,8,8,1.000,3,4,7,7,1,1,7,0,42,30.2,+7
57,55,2016-02-25,27-348,GSW,@,ORL,W (+16),1,34:02,20,27,.741,10,15,.667,1,1,1.000,0,7,7,8,0,1,5,1,51,43.1,+11
58,56,2016-02-27,27-350,GSW,@,OKC,W (+3),1,37:41,14,24,.583,12,16,.750,6,8,.750,0,3,3,6,2,0,3,1,46,37.7,+6
59,,2016-03-01,27-353,GSW,,ATL,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,57,2016-03-03,27-355,GSW,,OKC,W (+15),1,37:11,12,25,.480,5,15,.333,4,5,.800,1,3,4,4,1,1,1,2,33,24.2,+6
61,58,2016-03-06,27-358,GSW,@,LAL,L (-17),1,34:17,6,20,.300,1,10,.100,5,5,1.000,1,5,6,4,1,0,4,2,18,7.6,-8
62,59,2016-03-07,27-359,GSW,,ORL,W (+6),1,37:20,14,24,.583,7,13,.538,6,6,1.000,1,12,13,3,4,0,5,3,41,34.0,+21
63,60,2016-03-09,27-361,GSW,,UTA,W (+21),1,31:31,4,12,.333,3,9,.333,1,2,.500,0,3,3,10,3,0,3,2,12,11.9,+12
64,61,2016-03-11,27-363,GSW,,POR,W (+16),1,29:26,13,23,.565,7,14,.500,1,2,.500,0,3,3,4,2,0,3,2,34,24.6,+14
65,62,2016-03-12,27-364,GSW,,PHO,W (+7),1,34:59,12,24,.500,7,16,.438,4,4,1.000,1,2,3,6,0,0,1,4,35,25.9,+19
66,63,2016-03-14,28-000,GSW,,NOP,W (+18),1,31:18,10,16,.625,4,9,.444,3,4,.750,1,4,5,5,2,0,1,1,27,25.4,+27
67,64,2016-03-16,28-002,GSW,,NYK,W (+36),1,28:21,12,20,.600,8,13,.615,2,2,1.000,0,6,6,4,0,0,2,2,34,26.6,+31
68,65,2016-03-18,28-004,GSW,@,DAL,W (+18),1,34:19,12,26,.462,6,12,.500,1,1,1.000,1,8,9,10,2,0,1,2,31,27.9,+8
69,66,2016-03-19,28-005,GSW,@,SAS,L (-8),1,37:36,4,18,.222,1,12,.083,5,5,1.000,2,4,6,6,2,0,2,0,14,9.8,-10
70,67,2016-03-21,28-007,GSW,@,MIN,W (+5),1,34:50,6,17,.353,2,9,.222,5,6,.833,3,4,7,11,3,1,5,4,19,17.2,0
71,68,2016-03-23,28-009,GSW,,LAC,W (+16),1,37:26,12,23,.522,4,10,.400,5,6,.833,0,4,4,5,3,0,1,3,33,26.8,+4
72,69,2016-03-25,28-011,GSW,,DAL,W (+8),1,35:11,9,18,.500,5,12,.417,10,11,.909,0,8,8,8,4,0,3,0,33,32.6,+15
73,70,2016-03-27,28-013,GSW,,PHI,W (+12),1,33:12,7,16,.438,2,9,.222,4,5,.800,0,3,3,8,4,0,4,0,20,17.7,+4
74,71,2016-03-29,28-015,GSW,,WAS,W (+8),1,34:42,9,20,.450,6,8,.750,2,2,1.000,0,7,7,7,5,0,5,3,26,21.4,+15
75,72,2016-03-30,28-016,GSW,@,UTA,W (+7),1,42:16,11,23,.478,5,10,.500,4,5,.800,2,5,7,4,2,0,5,4,31,20.0,+6
76,73,2016-04-01,28-018,GSW,,BOS,L (-3),1,36:37,9,19,.474,8,14,.571,3,3,1.000,0,5,5,6,1,0,9,2,29,16.2,-1
77,74,2016-04-03,28-020,GSW,,POR,W (+25),1,34:35,13,21,.619,9,13,.692,4,4,1.000,2,4,6,7,2,1,4,2,39,34.9,+16
78,75,2016-04-05,28-022,GSW,,MIN,L (-7),1,42:35,7,25,.280,4,14,.286,3,3,1.000,2,4,6,15,3,0,3,4,21,17.8,+3
79,76,2016-04-07,28-024,GSW,,SAS,W (+11),1,36:17,11,19,.579,3,7,.429,2,2,1.000,0,5,5,9,2,0,3,2,27,24.1,+14
80,77,2016-04-09,28-026,GSW,@,MEM,W (+1),1,33:59,7,22,.318,3,14,.214,0,0,,0,9,9,8,1,0,2,1,17,11.3,+10
81,78,2016-04-10,28-027,GSW,@,SAS,W (+6),1,35:22,13,22,.591,4,9,.444,7,7,1.000,0,5,5,5,2,0,4,4,37,28.2,+7
82,79,2016-04-13,28-030,GSW,,MEM,W (+21),1,29:46,15,24,.625,10,19,.526,6,6,1.000,1,3,4,6,2,0,2,2,46,40.2,+19
83,1,2016-04-16,28-033,GSW,,HOU,W (+26),1,19:49,8,13,.615,5,7,.714,3,3,1.000,1,6,7,2,3,0,4,0,24,21.0,+28
84,,2016-04-18,28-035,GSW,,HOU,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
85,,2016-04-21,28-038,GSW,@,HOU,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2,2016-04-24,28-041,GSW,@,HOU,W (+27),1,18:35,2,9,.222,1,7,.143,1,1,1.000,0,0,0,5,1,0,5,0,6,0.0,0
87,,2016-04-27,28-044,GSW,,HOU,W (+33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
88,,2016-05-01,28-048,GSW,,POR,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
89,,2016-05-03,28-050,GSW,,POR,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,,2016-05-07,28-054,GSW,@,POR,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
